step,energy,y2,x1,x2
1,-74.925024,1.600000,1.600000,0.000000
2,-74.925024,1.600000,1.600000,0.000000
3,-74.925024,1.600000,1.600000,0.000000
4,-74.925024,1.600000,1.600000,0.000000
5,-75.004026,1.888440,1.888438,-0.049994
6,-75.004026,1.888440,1.888438,-0.049994
7,-75.004026,1.888440,1.888438,-0.049994
8,-75.004026,1.888440,1.888438,-0.049994
9,-75.004864,1.908650,1.909597,-0.069255
10,-75.004864,1.908650,1.909597,-0.069255
11,-75.004864,1.908650,1.909597,-0.069255
12,-75.004864,1.908650,1.909597,-0.069255
13,-75.005329,1.926307,1.928881,-0.102859
14,-75.005329,1.926307,1.928881,-0.102859
15,-75.005329,1.926307,1.928881,-0.102859
16,-75.005329,1.926307,1.928881,-0.102859
17,-75.005537,1.929150,1.933254,-0.130061
18,-75.005537,1.929150,1.933254,-0.130061
19,-75.005537,1.929150,1.933254,-0.130061
20,-75.005537,1.929150,1.933254,-0.130061
21,-75.005854,1.925291,1.932626,-0.179763
22,-75.005854,1.925291,1.932626,-0.179763
23,-75.005854,1.925291,1.932626,-0.179763
24,-75.005854,1.925291,1.932626,-0.179763
25,-75.006089,1.911460,1.923645,-0.235595
26,-75.006089,1.911460,1.923645,-0.235595
27,-75.006089,1.911460,1.923645,-0.235595
28,-75.006089,1.911460,1.923645,-0.235595
29,-75.006133,1.902532,1.917198,-0.245511
30,-75.006133,1.902532,1.917198,-0.245511
31,-75.006133,1.902532,1.917198,-0.245511
32,-75.006133,1.902532,1.917198,-0.245511
33,-75.006137,1.899716,1.915161,-0.243546
34,-75.006137,1.899716,1.915161,-0.243546
35,-75.006137,1.899716,1.915161,-0.243546
36,-75.006137,1.899716,1.915161,-0.243546
